"dashboard_id","dashboard_name","dashboard_rank","dashboard_type","integration_id","optional_src","mandatory_src"
"923d8fe3-98ad-4c8a-b074-622d986c80dd",Marketing Overview,1,MARKETING_OVERVIEW,"45c7f822-6eb1-4fef-8414-2a70fa27a764","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]","[""AMAZONSELLER"", ""SHOPIFYV2""]"
"7a05b826-1c8c-4db9-ba9d-a6408fd718b3",Inventory Amazon,1,OPERATIONS_AMAZON_INVENTORY,"45c7f822-6eb1-4fef-8414-2a70fa27a764","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]","[""AMAZONSELLER"", ""SHOPIFYV2""]"
"53f1202d-ea14-4445-b8e6-a8247d9d180f",Date Browser Monthly,9,ADVANCED_MARKETING_ANALYTICS_DATEBROWSER_MONTHLY,"45c7f822-6eb1-4fef-8414-2a70fa27a764","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]","[""AMAZONSELLER"", ""SHOPIFYV2""]"
"59c3f980-888e-4a72-8f25-7db2db4cfab4",Date Browser Weekly,8,ADVANCED_MARKETING_ANALYTICS_DATEBROWSER_WEEKLY,"45c7f822-6eb1-4fef-8414-2a70fa27a764","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]","[""AMAZONSELLER"", ""SHOPIFYV2""]"
"211641d2-d853-4ba9-9be2-c77e196aaad5",Date Browser Custom,6,ADVANCED_MARKETING_ANALYTICS_DATEBROWSER_CUSTOM,"45c7f822-6eb1-4fef-8414-2a70fa27a764","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]","[""AMAZONSELLER"", ""SHOPIFYV2""]"
"24aefdc5-e401-47f9-a2a7-29f52f783d4b",Date Browser Daily,7,ADVANCED_MARKETING_ANALYTICS_DATEBROWSER_DAILY,"45c7f822-6eb1-4fef-8414-2a70fa27a764","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]","[""AMAZONSELLER"", ""SHOPIFYV2""]"
cf051f0a-cbd1-4dd9-8fe9-db3f222dc61b,Date Browser Yearly,10,ADVANCED_MARKETING_ANALYTICS_DATEBROWSER_YEARLY,"45c7f822-6eb1-4fef-8414-2a70fa27a764","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]","[""AMAZONSELLER"", ""SHOPIFYV2""]"
"796ad026-5989-4db4-be42-5331c234db0d",Lost spend,2,ADVANCED_MARKETING_ANALYTICS_LOST_SPEND_,"45c7f822-6eb1-4fef-8414-2a70fa27a764","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]","[""AMAZONSELLER"", ""SHOPIFYV2""]"
"90f65657-e981-4f0a-8b15-f10c23fb0c5a",Returns,3,OPERATIONS_RETURNS,"45c7f822-6eb1-4fef-8414-2a70fa27a764","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]","[""AMAZONSELLER"", ""SHOPIFYV2""]"
"8ee51980-664e-4425-bfdc-2d46c190dd4f",Facebook Ads,3,MARKETING_FB_ADS,"45c7f822-6eb1-4fef-8414-2a70fa27a764","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]","[""AMAZONSELLER"", ""SHOPIFYV2""]"
"2b3f3d40-1583-4e0c-8216-f1268c8655f7",Amazon Ads,2,MARKETING_AMAZON_ADS,"45c7f822-6eb1-4fef-8414-2a70fa27a764","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]","[""AMAZONSELLER"", ""SHOPIFYV2""]"
cc21d0fe-1386-40b5-881a-7354b6cc54d4,Google Ads,4,MARKETING_GOOGLE_ADS,"45c7f822-6eb1-4fef-8414-2a70fa27a764","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]","[""AMAZONSELLER"", ""SHOPIFYV2""]"
"6fd56efd-3c44-4244-afe0-faab912de973",PnL Amazon,2,FINANCE_PNL_AMAZON,"45c7f822-6eb1-4fef-8414-2a70fa27a764","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]","[""AMAZONSELLER"", ""SHOPIFYV2""]"
"374bec3d-c26f-409c-81a5-f48aeb102c96",Finance Overview,1,FINANCE_OVERVIEW,"45c7f822-6eb1-4fef-8414-2a70fa27a764","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]","[""AMAZONSELLER"", ""SHOPIFYV2""]"
dce6e4b5-1be3-4698-936b-74dbe73126e0,Executive Snapshot,2,SALES_EXECUTIVE_SNAPSHOT,"45c7f822-6eb1-4fef-8414-2a70fa27a764","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]","[""AMAZONSELLER"", ""SHOPIFYV2""]"
"5d3b3022-6dc5-4fa9-a2a7-dd7e4011bcca",Channel Comparison,1,SALES_CHANNEL_COMPARISON,"45c7f822-6eb1-4fef-8414-2a70fa27a764","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]","[""AMAZONSELLER"", ""SHOPIFYV2""]"
"7d54cf5b-9b13-4836-bd0c-c5a3be6221a6",Customer Overview,1,CUSTOMER_OVERVIEW,"45c7f822-6eb1-4fef-8414-2a70fa27a764","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]","[""AMAZONSELLER"", ""SHOPIFYV2""]"
"04f96e78-fd2c-43cc-8b76-ce542e3d2b9d",Account Overview Shopify,5,SALES_ACCOUNT_OVERVIEW_SHOPIFY,"45c7f822-6eb1-4fef-8414-2a70fa27a764","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]","[""AMAZONSELLER"", ""SHOPIFYV2""]"
"2b944cbe-1d90-40b5-960c-cb85cdd75753",Executive Trends,3,SALES_EXECUTIVE_TRENDS,"45c7f822-6eb1-4fef-8414-2a70fa27a764","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]","[""AMAZONSELLER"", ""SHOPIFYV2""]"
"7e1c9c64-05af-42c0-9f3f-3796cfa96e69",Product Overview,1,PRODUCT_OVERVIEW,"45c7f822-6eb1-4fef-8414-2a70fa27a764","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]","[""AMAZONSELLER"", ""SHOPIFYV2""]"
"5ae463ae-963c-412f-9fb5-87593433f0e9",Account Overview Amazon,4,SALES_ACCOUNT_OVERVIEW_AMAZON,"45c7f822-6eb1-4fef-8414-2a70fa27a764","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]","[""AMAZONSELLER"", ""SHOPIFYV2""]"
cfab4598-1149-445e-84f8-e21f2e3e9322,Email Marketing,5,MARKETING_EMAIL,"45c7f822-6eb1-4fef-8414-2a70fa27a764","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]","[""AMAZONSELLER"", ""SHOPIFYV2""]"
"35be1ec8-8ec8-4f17-8733-4c5f1339b92c",Bing Ads,6,MARKETING_BING_ADS,"45c7f822-6eb1-4fef-8414-2a70fa27a764","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]","[""AMAZONSELLER"", ""SHOPIFYV2""]"
"708e2216-c646-4463-8e70-4e375a7e5202",Listings,5,OPERATIONS_AMAZON_LISTINGS,"45c7f822-6eb1-4fef-8414-2a70fa27a764","[""AMAZONSBADS"", ""AMAZONSDADS"", ""AMAZONSPADS"", ""GOOGLEADS"", ""FACEBOOK"", ""BINGADS"", ""GA4"", ""KLAVIYO3"", ""PINTEREST_V2"", ""GSS""]","[""AMAZONSELLER"", ""SHOPIFYV2""]"
